Red,Green,Blue,Category
0.16862745098039217,0.09019607843137255,0.06274509803921569,neither
0.1607843137254902,0.09019607843137255,0.07450980392156863,neither
0.1607843137254902,0.09019607843137255,0.07450980392156863,neither
0.16862745098039217,0.0784313725490196,0.06274509803921569,neither
0.16862745098039217,0.09019607843137255,0.06274509803921569,neither
0.1607843137254902,0.09019607843137255,0.07450980392156863,neither
0.1607843137254902,0.0784313725490196,0.07450980392156863,neither
0.16862745098039217,0.09019607843137255,0.06274509803921569,neither
0.1607843137254902,0.09019607843137255,0.07450980392156863,neither
0.1607843137254902,0.0784313725490196,0.07450980392156863,neither
0.10196078431372549,0.023529411764705882,0.0196078431372549,neither
0.10980392156862745,0.03137254901960784,0.01568627450980392,neither
0.11372549019607843,0.03137254901960784,0.011764705882352941,neither
0.17254901960784313,0.09411764705882353,0.08235294117647059,neither
0.16862745098039217,0.09803921568627451,0.08235294117647059,neither
0.16862745098039217,0.09803921568627451,0.08235294117647059,neither
0.16862745098039217,0.08627450980392157,0.08235294117647059,neither
0.17647058823529413,0.09019607843137255,0.07450980392156863,neither
0.1803921568627451,0.09803921568627451,0.07450980392156863,neither
0.17647058823529413,0.09803921568627451,0.08235294117647059,neither
0.17647058823529413,0.09803921568627451,0.08235294117647059,neither
0.1803921568627451,0.09803921568627451,0.08235294117647059,neither
0.1803921568627451,0.10588235294117647,0.09411764705882353,neither
0.0,0.0,0.00392156862745098,neither
0.0,0.0,0.0,neither
0.00392156862745098,0.0,0.00392156862745098,neither
0.7725490196078432,0.3215686274509804,0.3568627450980392,neither
0.7686274509803922,0.3058823529411765,0.35294117647058826,neither
0.7686274509803922,0.3137254901960784,0.35294117647058826,neither
0.7607843137254902,0.3137254901960784,0.36470588235294116,neither
0.7607843137254902,0.3137254901960784,0.36470588235294116,neither
0.7607843137254902,0.3058823529411765,0.3607843137254902,neither
0.7607843137254902,0.30196078431372547,0.34901960784313724,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7568627450980392,0.30196078431372547,0.3607843137254902,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7568627450980392,0.3058823529411765,0.35294117647058826,neither
0.7568627450980392,0.30196078431372547,0.34901960784313724,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.36470588235294116,neither
0.7607843137254902,0.3137254901960784,0.36470588235294116,neither
0.7607843137254902,0.3137254901960784,0.36470588235294116,neither
0.7686274509803922,0.3137254901960784,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7686274509803922,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.7607843137254902,0.3058823529411765,0.36470588235294116,neither
0.7607843137254902,0.3137254901960784,0.36470588235294116,neither
0.7607843137254902,0.3058823529411765,0.3607843137254902,neither
0.7607843137254902,0.3058823529411765,0.35294117647058826,neither
0.6039215686274509,0.1450980392156863,0.18823529411764706,neither
0.4117647058823529,0.5568627450980392,0.38823529411764707,green
0.6823529411764706,0.807843137254902,0.596078431372549,green
0.6980392156862745,0.8196078431372549,0.6039215686274509,green
0.7294117647058823,0.8235294117647058,0.6313725490196078,green
0.796078431372549,0.8588235294117647,0.7137254901960784,green
0.8,0.8588235294117647,0.7176470588235294,green
0.8,0.8627450980392157,0.7176470588235294,green
0.8,0.8627450980392157,0.7215686274509804,green
0.8,0.8627450980392157,0.7215686274509804,green
0.792156862745098,0.8627450980392157,0.7215686274509804,green
0.792156862745098,0.8627450980392157,0.7176470588235294,green
0.792156862745098,0.8627450980392157,0.7215686274509804,green
0.792156862745098,0.8627450980392157,0.7215686274509804,green
0.792156862745098,0.8627450980392157,0.7176470588235294,green
0.792156862745098,0.8627450980392157,0.7176470588235294,green
0.792156862745098,0.8627450980392157,0.7294117647058823,green
0.792156862745098,0.8627450980392157,0.7176470588235294,green
0.792156862745098,0.8627450980392157,0.7176470588235294,green
0.7803921568627451,0.8509803921568627,0.6941176470588235,green
0.7686274509803922,0.8470588235294118,0.6980392156862745,green
0.7647058823529411,0.8470588235294118,0.6980392156862745,green
0.7686274509803922,0.8509803921568627,0.7019607843137254,green
0.7686274509803922,0.8509803921568627,0.7019607843137254,green
0.7686274509803922,0.8509803921568627,0.6941176470588235,green
0.7686274509803922,0.8509803921568627,0.6941176470588235,green
0.7803921568627451,0.8509803921568627,0.6941176470588235,green
0.7803921568627451,0.8509803921568627,0.6941176470588235,green
0.7686274509803922,0.8470588235294118,0.7019607843137254,green
0.7686274509803922,0.8509803921568627,0.6901960784313725,green
0.7686274509803922,0.8470588235294118,0.6901960784313725,green
0.7647058823529411,0.8470588235294118,0.6980392156862745,green
0.7647058823529411,0.8470588235294118,0.6980392156862745,green
0.7607843137254902,0.8470588235294118,0.6823529411764706,green
0.7490196078431373,0.8392156862745098,0.6784313725490196,green
0.3686274509803922,0.5176470588235295,0.34509803921568627,green
0.0,0.0,0.0,neither
0.1450980392156863,0.4196078431372549,0.6941176470588235,blue
0.17254901960784313,0.43529411764705883,0.6784313725490196,blue
0.1568627450980392,0.43137254901960786,0.6823529411764706,blue
0.14901960784313725,0.4196078431372549,0.6901960784313725,blue
0.1568627450980392,0.42745098039215684,0.6823529411764706,blue
0.1607843137254902,0.43137254901960786,0.6823529411764706,blue
0.16470588235294117,0.43137254901960786,0.6823529411764706,blue
0.15294117647058825,0.4235294117647059,0.6823529411764706,blue
0.1607843137254902,0.4235294117647059,0.6823529411764706,blue
0.16470588235294117,0.4235294117647059,0.6823529411764706,blue
0.16470588235294117,0.4235294117647059,0.6823529411764706,blue
0.16470588235294117,0.43137254901960786,0.6823529411764706,blue
0.16862745098039217,0.43529411764705883,0.6823529411764706,blue
0.16862745098039217,0.4235294117647059,0.6823529411764706,blue
0.1607843137254902,0.4235294117647059,0.6941176470588235,blue
0.1607843137254902,0.42745098039215684,0.6941176470588235,blue
0.16862745098039217,0.4235294117647059,0.6823529411764706,blue
0.16862745098039217,0.43529411764705883,0.6823529411764706,blue
0.20392156862745098,0.4235294117647059,0.6627450980392157,blue
0.18823529411764706,0.43137254901960786,0.6784313725490196,blue
0.17254901960784313,0.42745098039215684,0.6823529411764706,blue
0.16862745098039217,0.4235294117647059,0.6823529411764706,blue
0.17254901960784313,0.43529411764705883,0.6823529411764706,blue
0.17254901960784313,0.42745098039215684,0.6823529411764706,blue
0.16470588235294117,0.4235294117647059,0.6823529411764706,blue
